"","179 ng/ml antibody level, England","Age 16 - 24","Age 25 - 34","Age 35 - 49","Age 50 - 59","Age 60 - 64","Age 65 - 69","Age 70 - 74","Age 75 - 79","Age 80+"
"1",2020-12-07,9.1,4.8,5.8,7.1,5.8,3.3,3.3,3.6,3
"2",2020-12-14,9.2,5.5,5.8,7.2,5.7,3.7,3.7,3.5,3.4
"3",2020-12-21,8.5,5.6,5.4,6.8,5.3,3.8,3.5,3.2,4.6
"4",2020-12-28,7.6,5.7,5.3,6.1,5,3.8,3.2,3,6.8
"5",2021-01-04,9,7.6,6.9,7.5,6.2,4.9,3.8,4.1,13.9
"6",2021-01-11,9.5,7.6,7,7.6,6.4,4.8,3.5,4.5,17.9
"7",2021-01-18,9.7,7.3,7.1,7.8,6.9,4.3,3.5,5.4,21.5
"8",2021-01-25,11.2,8.2,8.9,9.6,8.7,4.3,5.1,9.5,28.1
"9",2021-02-01,11.1,8.6,10,10.6,8.8,4.7,8.2,15.4,33.3
"10",2021-02-08,13.2,11,12.3,12.5,9.9,7.6,13.8,24,39.5
"11",2021-02-15,14.8,12.9,13.7,14.3,12.3,12,20.8,31.4,41
"12",2021-02-22,13.6,12,12.6,14,13.3,15.8,25,29.1,33.2
"13",2021-03-01,14.1,13,13.8,16.4,17.2,24.8,31.4,29.9,33.1
"14",2021-03-08,13.9,13.6,14.5,17.3,20.5,30.5,31.6,26.5,32.7
"15",2021-03-15,12.8,13,14.8,18.4,22.7,30.5,26.3,23.1,31.4
"16",2021-03-22,12.7,13.3,14.9,21,26.5,30.1,24.6,22.9,34.3
"17",2021-03-29,15.4,16.8,19.2,27.9,35.1,34,28.5,29,46
"18",2021-04-05,17.7,18.6,20.8,31.5,35.2,28.8,26.9,33.2,56.1
"19",2021-04-12,15.8,17.4,20.4,34.2,33.8,26.6,30.1,43.5,68
"20",2021-04-19,13.8,15.9,19.6,33.3,30.3,25.7,36.6,55.1,74.3
"21",2021-04-26,16.6,18.8,24.2,38.8,36.3,38,55.1,72.2,80.9
"22",2021-05-03,16.9,19.5,26.4,39.9,39.7,50.4,71.2,79,82.1
"23",2021-05-10,16.7,19,27.7,38,40.9,61.3,76.1,78.9,80.3
"24",2021-05-17,19.7,21.7,33.8,41.9,47.7,71.1,78.9,79,80.3
"25",2021-05-24,18.7,22.4,37.9,45.4,54.5,74.3,76.6,76.5,76.9
